"ID","age","real_age","year","season","n","n_nights_network","degree","norm_degree","strength","avg_strength","longevity_5x","longevity_2y","longevity_10x"
"circus",2,1,2021,"Breeding",76,79,23,0.306666666666667,3.12047534680536,0.13567284116545,NA,NA,NA
"circus",2,1,2021,"Transient",133,79,84,0.636363636363636,7.698197946537,0.09164521364925,NA,NA,NA
"circus",2,1,2021,"Post-breeding",98,118,58,0.597938144329897,7.54413458819477,0.130071286003358,NA,NA,NA
"circus",3,1,2022,"Breeding",104,112,65,0.631067961165049,8.36880833862149,0.128750897517254,NA,NA,NA
"circus",3,1,2022,"Post-breeding",101,84,76,0.76,13.7847010181398,0.181377644975524,NA,NA,NA
"colombus",12,1,2019,"Transient",47,91,19,0.41304347826087,2.40183947316833,0.126412603850965,14,14,NA
"colombus",12,1,2019,"Post-breeding",43,32,18,0.428571428571429,2.44904921660344,0.136058289811302,14,14,NA
"colombus",13,1,2020,"Breeding",58,53,14,0.245614035087719,2.72487712164441,0.194634080117458,14,14,NA
"cordellia",12,1,2017,"Transient",33,89,16,0.5,3.128751553838,0.195546972114875,16,16,16
"cordellia",13,1,2018,"Breeding",48,148,18,0.382978723404255,2.07947377406801,0.115526320781556,16,16,16
"cordellia",13,1,2018,"Transient",38,91,21,0.567567567567568,2.52630267214125,0.120300127244821,16,16,16
"cordellia",13,1,2018,"Post-breeding",41,122,22,0.55,2.16624770823538,0.0984658049197901,16,16,16
"cordellia",14,1,2019,"Breeding",40,120,17,0.435897435897436,1.43140761390841,0.0842004478769651,16,16,16
"cordellia",14,1,2019,"Transient",47,86,23,0.5,2.31143638288857,0.100497234038633,16,16,16
"cordellia",14,1,2019,"Post-breeding",43,120,27,0.642857142857143,2.48504698763299,0.0920387773197402,16,16,16
"cordellia",15,1,2020,"Breeding",58,149,31,0.543859649122807,2.99314420939522,0.0965530390127491,16,16,16
"cordellia",15,1,2020,"Post-breeding",77,123,39,0.513157894736842,4.62551807465242,0.11860302755519,16,16,16
"cork",12,1,2020,"Transient",90,85,58,0.651685393258427,11.6263091636741,0.200453606270244,NA,NA,NA
"dani",2,1,2019,"Post-breeding",43,91,29,0.69047619047619,7.26807007541241,0.250623106048704,5,NA,NA
"dani",3,1,2020,"Transient",90,45,46,0.51685393258427,13.9504197093863,0.303269993682312,5,NA,NA
"dani",3,1,2020,"Post-breeding",77,103,21,0.276315789473684,15.7935682922351,0.752074680582625,5,NA,NA
"dani",4,1,2021,"Breeding",76,43,20,0.266666666666667,7.59682185599656,0.379841092799828,5,NA,NA
"dingle",1,1,2019,"Transient",47,46,22,0.478260869565217,4.87412746288913,0.221551248313142,NA,NA,NA
"dingle",2,1,2020,"Transient",90,34,52,0.584269662921348,5.65789260763349,0.108805627069875,NA,NA,NA
"dingle",2,1,2020,"Post-breeding",77,121,37,0.486842105263158,5.37728648715271,0.145332067220343,NA,NA,NA
"dingle",3,1,2021,"Breeding",76,55,44,0.586666666666667,4.65071378756988,0.105698040626588,NA,NA,NA
"dingle",3,1,2021,"Transient",133,49,97,0.734848484848485,21.2441701092475,0.219012062981933,NA,NA,NA
"dingle",3,1,2021,"Post-breeding",98,121,58,0.597938144329897,12.1111020976536,0.208812105131958,NA,NA,NA
"dingle",4,1,2022,"Breeding",104,99,66,0.640776699029126,10.9642878987567,0.166125574223587,NA,NA,NA
"dingle",4,1,2022,"Post-breeding",101,122,76,0.76,12.5494406180867,0.165124218659035,NA,NA,NA
"doolin",2,1,2021,"Post-breeding",98,60,52,0.536082474226804,9.06540750202379,0.174334759654304,3,3,3
"doolin",3,1,2022,"Breeding",104,64,65,0.631067961165049,13.8546916923606,0.213149102959393,3,3,3
"doolin",3,1,2022,"Post-breeding",101,122,76,0.76,16.4232838205076,0.216095839743521,3,3,3
"dor",14,1,2017,"Transient",33,74,18,0.5625,3.41734981360067,0.18985276742226,NA,NA,NA
"dor",14,1,2017,"Post-breeding",30,120,14,0.482758620689655,0.88337551628264,0.0630982511630457,NA,NA,NA
"dor",15,1,2018,"Transient",38,69,17,0.459459459459459,3.04786328820073,0.179286075776514,NA,NA,NA
"dor",16,1,2019,"Breeding",40,142,18,0.461538461538462,1.07448404254862,0.0596935579193677,NA,NA,NA
"dor",16,1,2019,"Transient",47,87,24,0.521739130434783,3.42745259537929,0.142810524807471,NA,NA,NA
"dor",16,1,2019,"Post-breeding",43,121,24,0.571428571428571,1.6250190619442,0.0677091275810082,NA,NA,NA
"dor",17,1,2020,"Breeding",58,126,28,0.491228070175439,2.27633938089688,0.0812978350320314,NA,NA,NA
"dor",17,1,2020,"Transient",90,71,47,0.528089887640449,3.39599465500554,0.0722552054256497,NA,NA,NA
"dor",17,1,2020,"Post-breeding",77,112,29,0.381578947368421,5.433319160671,0.187355833126586,NA,NA,NA
"dor",18,1,2021,"Breeding",76,114,46,0.613333333333333,3.92008041493699,0.085219139455152,NA,NA,NA
"dor",18,1,2021,"Transient",133,52,93,0.704545454545455,16.5364071392917,0.17781082945475,NA,NA,NA
"dor",18,1,2021,"Post-breeding",98,83,54,0.556701030927835,9.74007067537774,0.180371679173662,NA,NA,NA
"dor",19,1,2022,"Breeding",104,110,67,0.650485436893204,5.09927791695666,0.0761086256262189,NA,NA,NA
"dor",19,1,2022,"Post-breeding",101,86,75,0.75,13.5595865349447,0.180794487132596,NA,NA,NA
"echo",0,1,2021,"Transient",133,66,82,0.621212121212121,10.0587795366917,0.122668043130386,NA,NA,NA
"echo",1,1,2022,"Breeding",104,151,73,0.70873786407767,13.3297500377388,0.182599315585463,NA,NA,NA
"echo",1,1,2022,"Post-breeding",101,122,76,0.76,13.8950537153911,0.182829654149883,NA,NA,NA
"edward",0,1,2021,"Transient",133,44,74,0.560606060606061,5.9650292337653,0.0806085031589905,1,1,1
"edward",1,1,2022,"Post-breeding",101,99,76,0.76,14.5378567282219,0.191287588529235,1,1,1
"elgin",19,0,2021,"Transient",133,69,71,0.537878787878788,13.9956727592764,0.197122151539104,NA,NA,NA
"elgin",20,0,2022,"Breeding",104,151,69,0.669902912621359,11.9794131536941,0.17361468338687,NA,NA,NA
"elgin",20,0,2022,"Post-breeding",101,122,76,0.76,10.3126736313234,0.13569307409636,NA,NA,NA
"epsilon",0,1,2021,"Transient",133,35,66,0.5,6.34981218083936,0.0962092754672631,NA,NA,NA
"epsilon",1,1,2022,"Post-breeding",101,106,76,0.76,15.235574429584,0.20046808459979,NA,NA,NA
"erasmus",0,1,2021,"Transient",133,74,79,0.598484848484849,10.8924713453938,0.137879384118909,NA,NA,NA
